"SWOT.Cats","Negotiation.phase","msg.number","Message"
"T III","IGC",158,"existing"
"T III","IGC",158,"instruments"
"T III","IGC",158,"remain"
"T III","IGC",158,"assessed"
"T II","IGC",159,"disagreement"
"T II","IGC",159,"related"
"T II","IGC",159,"functions"
"T II","IGC",159,"powers"
"T II","IGC",159,"conference"
"T II","IGC",159,"parties"
"T II","IGC",159,"cop"
"O IV","IGC",160,"strengthen"
"O IV","IGC",160,"existing"
"O IV","IGC",160,"obligations"
"O IV","IGC",160,"cooperation"
"O IV","IGC",160,"reporting"
"O I","IGC",161,"abmts"
"O I","IGC",161,"abnj"
"O I","IGC",161,"adaptable"
"O I","IGC",161,"respond"
"O I","IGC",161,"dynamic"
"O I","IGC",161,"ocean"
"O I","IGC",161,"conditions"
"O I","IGC",161,"impacts"
"O I","IGC",161,"climate"
"O I","IGC",161,"change"
"T II","IGC",162,"undermine"
"T II","IGC",162,"effectiveness"
"T II","IGC",162,"objectives"
"T II","IGC",162,"existing"
"T II","IGC",162,"bodies"
"T II","IGC",162,"instruments"
"O VI","IGC",163,"provide"
"O VI","IGC",163,"common"
"O VI","IGC",163,"vision"
"O VI","IGC",163,"international"
"O VI","IGC",163,"community"
"O VI","IGC",163,"collaborate"
"O VI","IGC",163,"stewards"
"O VI","IGC",163,"conservation"
"O VI","IGC",163,"sustainable"
"T II","IGC",164,"countries"
"T II","IGC",164,"continue"
"T II","IGC",164,"diverge"
"T II","IGC",164,"roles"
"T II","IGC",164,"decision"
"T II","IGC",164,"functions"
"T II","IGC",164,"bodies"
"T II","IGC",164,"relevant"
"T II","IGC",164,"global"
"T II","IGC",164,"regional"
"T II","IGC",164,"sectoral"
"T II","IGC",164,"bodies"
"W III","IGC",165,"adjacency"
"W III","IGC",165,"draft"
"W III","IGC",165,"text"
"W III","IGC",165,"related"
"W III","IGC",165,"geographical"
"W III","IGC",165,"sense"
"W III","IGC",165,"word"
"W III","IGC",165,"adjacent"
"W III","IGC",165,"coastal"
"W III","IGC",165,"ecological"
"W III","IGC",165,"sense"
"O I","IGC",166,"growing"
"O I","IGC",166,"consensus"
"O I","IGC",166,"relevance"
"O I","IGC",166,"traditional"
"O I","IGC",166,"knowledge"
"O III","IGC",167,"ensuring"
"O III","IGC",167,"cost"
"O III","IGC",167,"effectiveness"
"O III","IGC",167,"addressing"
"O III","IGC",167,"disputes"
"O II","IGC",168,"bring"
"O II","IGC",168,"ocean"
