"SWOT","Negotiation.phase","msg.number","Message"
"S","BBNJ WG",68,"coordination"
"S","BBNJ WG",68,"establish"
"S","BBNJ WG",68,"mpas"
"S","BBNJ WG",68,"existing"
"S","BBNJ WG",68,"mechanisms"
"S","BBNJ WG",68,"organizations"
"S","BBNJ WG",69,"replace"
"S","BBNJ WG",69,"rfmos"
"S","BBNJ WG",69,"directly"
"S","BBNJ WG",69,"regulate"
"S","BBNJ WG",69,"fisheries"
"O","BBNJ WG",70,"incorporate"
"O","BBNJ WG",70,"measures"
"O","BBNJ WG",70,"compliance"
"O","BBNJ WG",70,"control"
"O","BBNJ WG",71,"fill"
"O","BBNJ WG",71,"existing"
"O","BBNJ WG",71,"gaps"
"O","BBNJ WG",71,"strengthen"
"O","BBNJ WG",71,"effectiveness"
"O","BBNJ WG",71,"regional"
"O","BBNJ WG",71,"organizations"
"O","BBNJ WG",71,"address"
"O","BBNJ WG",71,"abnj"
"O","BBNJ WG",71,"issues"
"S","BBNJ WG",72,"provide"
"S","BBNJ WG",72,"ground"
"S","BBNJ WG",72,"build"
"S","BBNJ WG",72,"global"
"S","BBNJ WG",72,"consensus"
"S","BBNJ WG",72,"conservation"
"S","BBNJ WG",72,"sustainable"
"S","BBNJ WG",72,"biological"
"S","BBNJ WG",72,"diversity"
"S","BBNJ WG",72,"abnj"
"O","BBNJ WG",73,"operationalize"
"O","BBNJ WG",73,"management"
"O","BBNJ WG",73,"principles"
"O","BBNJ WG",73,"ecosystem"
"O","BBNJ WG",73,"based"
"O","BBNJ WG",73,"precautionary"
"O","BBNJ WG",73,"management"
"S","BBNJ WG",74,"multiple"
"S","BBNJ WG",74,"reasons"
"S","BBNJ WG",74,"objectives"
"S","BBNJ WG",74,"including"
"S","BBNJ WG",74,"abmts"
"S","BBNJ WG",74,"conservation"
"S","BBNJ WG",74,"biodiversity"
"S","BBNJ WG",74,"abnj"
"S","BBNJ WG",74,"highlighted"
"S","BBNJ WG",75,"recognition"
"S","BBNJ WG",75,"determine"
"S","BBNJ WG",75,"legal"
"S","BBNJ WG",75,"basis"
"S","BBNJ WG",75,"designating"
"S","BBNJ WG",75,"mpas"
"S","BBNJ WG",75,"consistent"
"S","BBNJ WG",75,"unclos"
"W","BBNJ WG",76,"start"
"W","BBNJ WG",76,"implement"
"W","BBNJ WG",76,"party"
"W","BBNJ WG",76,"entered"
"W","BBNJ WG",76,"force"
"O","BBNJ WG",77,"obtain"
"O","BBNJ WG",77,"broad"
"O","BBNJ WG",77,"international"
"O","BBNJ WG",77,"support"
"O","BBNJ WG",77,"provisions"
"O","BBNJ WG",77,"mpa"
"O","BBNJ WG",77,"networks"
"O","BBNJ WG",78,"incorporate"
"O","BBNJ WG",78,"operationalise"
"O","BBNJ WG",78,"modern"
"O","BBNJ WG",78,"management"
"O","BBNJ WG",78,"principles"
"O","BBNJ WG",78,"precaution"
"O","BBNJ WG",78,"ecosystem"
"O","BBNJ WG",78,"based"
"O","BBNJ WG",78,"management"
"O","BBNJ WG",78,"integration"
"S","BBNJ WG",79,"mpas"
"S","BBNJ WG",79,"highlighted"
"S","BBNJ WG",79,"key"
"S","BBNJ WG",79,"conservation"
"S","BBNJ WG",79,"tool"
"S","BBNJ WG",79,"marine"
"S","BBNJ WG",79,"protection"
"S","BBNJ WG",79,"abnj"
"T","BBNJ WG",80,"divisions"
"T","BBNJ WG",80,"opinion"
"T","BBNJ WG",80,"exist"
"T","BBNJ WG",80,"countries"
