"uniqueID","Publication.Year","Negotiation.phase","SWOT.Cats","SWOT","Category","Message"
11,2020,"IGC","O VI","O","VI","Provide a common vision for the international community to collaborate as stewards for the conservation and sustainable use of BBNJ."
13,2020,"IGC","T II","T","II","Countries continue to diverge on the roles and decision-making functions of bodies and/or of relevant global, regional and sectoral bodies."
15,2020,"IGC","W III","W","III","Adjacency in the draft text were most related to a geographical sense of the word such as “adjacent coastal States” instead of in the ""ecological sense""."
16,2020,"IGC","O I","O","I","Growing consensus of the relevance of traditional knowledge."
17,2020,"IGC","O III","O","III","Ensuring cost-effectiveness in addressing disputes."
18,2020,"IGC","O II","O","II","The new BBNJ agreement could bring together all ocean users and stakeholders to create a richer dialogue about tools, approaches and the need to balance conservation and sustainable use."
19,2020,"IGC","O III","O","III","The connectivity between candidate ABNJ MPAs and adjoining EEZs can also help to ensure that the major types of services that MPAs can provide are maximized for the benefit of coastal states."
20,2020,"IGC","O I","O","I","Management bodies with overlapping mandates and participants can cooperate by providing perspectives and expertise from their respective fields leading to a more resilient system of governance of ABNJ."
21,2020,"IGC","S II","S","II","Existing regional practices are important for the implementation of the proposed international legal instrument."
26,2020,"IGC","W II","W","II","Fishing has been excluded from the BBNJ discussions."
27,2020,"IGC","O V","O","V","Using science as a neutral platform would remove political barriers that may hinder science-based management."
30,2020,"IGC","T I","T","I","Some countries still struggle to accept the relevance of IPLCs and their knowledge to high seas governance to contribute to the agreement."
33,2020,"IGC","O II","O","II","Institutional cooperation structures and processes created by the BBNJ agreement could address sources of conflict."
37,2020,"IGC","S II","S","II","States Parties shall strength and enhancw cooperation with and among relevant legal instruments and frameworks and relevant global, regional, subregional and sectoral bodies."
38,2020,"IGC","S III","S","III","the BBNJ agreement “should not undermine” relevant existing frameworks, bodies, and instruments."
41,2020,"IGC","T I","T","I","Networks of seamounts are not considered into the legal zoning of area-based management tools (ABMTs)."
57,2020,"IGC","T I","T","I","The term ‘not undermine’ remains unclear and may be interpreted in a way that it would support “the improvement of status quo”."
72,2019,"IGC","S III","S","III","The BBNJ agreement aims for adaptive capacity."
74,2019,"IGC","T I","T","I","the “should not undermine” commitment may be undermining the BBNJ process as a whole."
82,2019,"IGC","O II","O","II","“soft law” clauses can promote the high seas MPAs to build consensus and guide action."
84,2019,"IGC","S III","S","III","The BBNJ agreement proposes the application of an integrated approach and an approach that builds ecosystem resilience and restores ecosystem integrity."
86,2019,"IGC","O V","O","V","Potential for consortiums of non-governmental members to influence international policy making, favoring inclusive and equitable decisions."
90,2019,"IGC","W IV","W","IV","Lack of effective mechanisms to ensure successful implementation."
94,2019,"IGC","W III","W","III","The regional model can effectively be viewed as the status quo of ocean governance."
101,2019,"IGC","W III","W","III","an instrument limited to areas not covered by existing institutions would offer “an ad hoc approach to gap-filling” that may result in unnecessary complexity and fragmentation."
109,2019,"IGC","O I","O","I","to appliy best practices to address anthropogenic underwater noise pollution before, during and after a project in the case of EIA / SEA or on an continuous basis in the case of ABMTs."
113,2019,"IGC","O I","O","I","the BBNJ agreement should coordinate the different existing criteria and draw lessons from the regional practice, providing for a set of comprehensive and unified selection criteria for the high seas MPAs."
118,2019,"IGC","O III","O","III","to create a global authority in charge of designing and implementing ABMT that would improve coherence in ABMTs by sharing best practices, and/or proposing new sites to the sectoral organizations that would implement them."
120,2018,"PrepCom","O II","O","II","to establish a financial mechanism capable of mobilizing ocean funds from a range of sources including public (national governments and multilateral organizations), philanthropic donors and innovative avenues including public-private partnerships."
125,2018,"PrepCom","O I","O","I","to create a global scientific body tasked with developing proposals for MPAs in line with existing processes"
139,2018,"PrepCom","O I","O","I","to take an holistic apporach for the conservation and sustainable use of BBNJ."
145,2018,"PrepCom","O III","O","III","MPAs installed in adjacent jurisdictions will likely carry benefits for RFMOs' closures through spillover effects."
147,2018,"PrepCom","O V","O","V","to adopt an environmental stewardship as the intellectual basis for an effective, governance framework which would meaningfully balance competing values, uses and interests."
158,2018,"PrepCom","T II","T","II","There are divergent views on regulation of the scientific research."
159,2018,"PrepCom","W I","W","I","Lack of elaboration on the concepts addressing the role of States in the designation of MPAs in ABNJ: due regard, adjacency, compatibility, sovereignty."
161,2018,"PrepCom","O II","O","II","To emphasise the cross-cutting nature of science and the role of diplomacy in promoting science as a mechanism to galvanize international cooperation."
