PeriodCODE;index_KM;z-score_afinn;z-score_bing;count;mean_score;all_451z-scores
3;234;-0.875365923;;1;;-0.875365923
3;236;0.108686373;-1.041469612;2;-0.466391619;-0.466391619
3;238;;0.467400701;1;;0.467400701
3;239;0.600712521;0.467400701;2;0.534056611;0.534056611
3;240;;-1.041469612;1;;-1.041469612
3;243;1.584764818;0.467400701;2;1.026082759;1.026082759
3;244;-0.875365923;-0.287034455;2;-0.581200189;-0.581200189
3;245;-0.383339775;-0.287034455;2;-0.335187115;-0.335187115
3;246;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;247;;-1.041469612;1;;-1.041469612
3;248;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;249;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;250;0.108686373;;1;;0.108686373
3;251;;-1.041469612;1;;-1.041469612
3;281;-1.367392072;-1.795904768;2;-1.58164842;-1.58164842
3;282;1.092738669;;1;;1.092738669
3;283;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;289;0.600712521;;1;;0.600712521
3;290;-1.367392072;-2.550339924;2;-1.958865998;-1.958865998
3;292;;-1.041469612;1;;-1.041469612
3;293;-0.383339775;-0.287034455;2;-0.335187115;-0.335187115
3;294;-1.85941822;-1.795904768;2;-1.827661494;-1.827661494
3;297;-1.367392072;-0.287034455;2;-0.827213263;-0.827213263
3;298;1.092738669;0.467400701;2;0.780069685;0.780069685
3;299;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;328;;1.221835857;1;;1.221835857
3;329;;1.221835857;1;;1.221835857
3;331;2.568817114;1.221835857;2;1.895326486;1.895326486
3;332;1.584764818;0.467400701;2;1.026082759;1.026082759
3;333;0.600712521;0.467400701;2;0.534056611;0.534056611
3;335;;0.467400701;1;;0.467400701
3;336;;0.467400701;1;;0.467400701
3;337;-1.85941822;-0.287034455;2;-1.073226338;-1.073226338
3;338;0.600712521;-0.287034455;2;0.156839033;0.156839033
3;339;0.108686373;-0.287034455;2;-0.089174041;-0.089174041
3;340;1.092738669;1.221835857;2;1.157287263;1.157287263
3;341;;-1.041469612;1;;-1.041469612
3;368;-0.875365923;-0.287034455;2;-0.581200189;-0.581200189
3;369;;0.467400701;1;;0.467400701
3;370;;-1.041469612;1;;-1.041469612
3;371;-1.85941822;-1.041469612;2;-1.450443916;-1.450443916
3;372;0.600712521;0.467400701;2;0.534056611;0.534056611
3;373;;-1.041469612;1;;-1.041469612
3;375;0.600712521;0.467400701;2;0.534056611;0.534056611
3;376;1.092738669;-0.287034455;2;0.402852107;0.402852107
3;377;;0.467400701;1;;0.467400701
3;379;0.600712521;1.976271013;2;1.288491767;1.288491767
3;380;0.600712521;-0.287034455;2;0.156839033;0.156839033
3;381;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
